SourceFile,TargetFile
Jolt/Physics/PhysicsUpdateContext.h,Jolt/Physics/Body/BodyPair.h
Jolt/Core/Semaphore.cpp,Jolt/Core/IncludeWindows.h
Jolt/Physics/Vehicle/VehicleDifferential.cpp,Jolt/Jolt.h
Jolt/ObjectStream/ObjectStream.h,Jolt/ObjectStream/ObjectStreamTypes.h
Jolt/Physics/PhysicsSystem.h,Jolt/Physics/IslandBuilder.h
Jolt/Geometry/EPAPenetrationDepth.h,Jolt/Geometry/EPAConvexHullBuilder.h
Jolt/Shaders/HairCommon.h,ShaderQuat.h
Jolt/Physics/Vehicle/Wheel.h,Jolt/ObjectStream/SerializableObject.h
Jolt/Shaders/HairWrapper.cpp,HairCalculateRenderPositionsBindings.h
Jolt/Core/Profiler.cpp,Jolt/Core/UnorderedMap.h
Jolt/Shaders/HairWrapper.cpp,HairSkinRoots.hlsl
Jolt/Jolt.h,Jolt/Core/ARMNeon.h
Jolt/Physics/Collision/Shape/HeightFieldShape.cpp,Jolt/Physics/Collision/TransformedShape.h
Jolt/Physics/Constraints/SixDOFConstraint.h,Jolt/Physics/Constraints/ConstraintPart/PointConstraintPart.h
Jolt/Physics/Constraints/SixDOFConstraint.cpp,Jolt/Physics/Constraints/SixDOFConstraint.h
Jolt/Physics/Collision/CollideSphereVsTriangles.cpp,Jolt/Physics/Collision/ActiveEdges.h
Jolt/Physics/Vehicle/MotorcycleController.cpp,Jolt/Jolt.h
Jolt/TriangleSplitter/TriangleSplitterBinning.cpp,Jolt/TriangleSplitter/TriangleSplitterBinning.h
Jolt/Physics/Vehicle/VehicleConstraint.h,Jolt/Physics/Vehicle/VehicleAntiRollBar.h
Jolt/Physics/Body/BodyInterface.cpp,Jolt/Physics/Collision/CollisionCollectorImpl.h
Jolt/Physics/Vehicle/VehicleCollisionTester.cpp,Jolt/Physics/Collision/Shape/CylinderShape.h
Jolt/Physics/Collision/BroadPhase/QuadTree.cpp,Jolt/Physics/Collision/BroadPhase/QuadTree.h
Jolt/Physics/Constraints/GearConstraint.cpp,Jolt/Physics/Body/Body.h
Jolt/Compute/DX12/ComputeQueueDX12.h,Jolt/Core/UnorderedSet.h
Jolt/Physics/Character/CharacterVirtual.h,Jolt/Physics/Character/CharacterID.h
Jolt/Physics/PhysicsSystem.cpp,Jolt/Physics/Constraints/ConstraintPart/AxisConstraintPart.h
Jolt/Shaders/HairWrapper.cpp,HairCalculateRenderPositions.hlsl
Jolt/Physics/Collision/Shape/SphereShape.cpp,Jolt/Geometry/Plane.h
Jolt/Physics/Constraints/FixedConstraint.cpp,Jolt/Jolt.h
Jolt/Physics/Vehicle/VehicleConstraint.cpp,Jolt/ObjectStream/TypeDeclarations.h
Jolt/Physics/Collision/BroadPhase/QuadTree.cpp,Jolt/Physics/PhysicsLock.h
Jolt/Geometry/ClipPoly.h,Jolt/Geometry/AABox.h
Jolt/Physics/Vehicle/VehicleTrack.h,Jolt/ObjectStream/SerializableObject.h
Jolt/Physics/Collision/CastConvexVsTriangles.cpp,Jolt/Jolt.h
Jolt/Core/JobSystemThreadPool.h,Jolt/Core/Semaphore.h
Jolt/Physics/Vehicle/VehicleConstraint.h,Jolt/Physics/Constraints/ConstraintPart/AngleConstraintPart.h
Jolt/Physics/Collision/ShapeCast.h,Jolt/Geometry/AABox.h
Jolt/Physics/Constraints/PointConstraint.cpp,Jolt/Core/StreamIn.h
Jolt/Physics/Body/Body.h,Jolt/Physics/Collision/CollisionGroup.h
Jolt/Physics/Character/CharacterVirtual.cpp,Jolt/Geometry/RayAABox.h
Jolt/Compute/CPU/ComputeQueueCPU.cpp,Jolt/Compute/CPU/ShaderWrapper.h
Jolt/Physics/Collision/CollideConvexVsTriangles.cpp,Jolt/Geometry/Plane.h
Jolt/Physics/Constraints/SixDOFConstraint.cpp,Jolt/Core/StreamOut.h
Jolt/Physics/Vehicle/Wheel.h,Jolt/Core/StreamIn.h
Jolt/Shaders/HairWrapper.cpp,HairGridNormalizeBindings.h
Jolt/Compute/VK/ComputeQueueVK.cpp,Jolt/Compute/VK/ComputeBufferVK.h
Jolt/Physics/Collision/TransformedShape.cpp,Jolt/Physics/Collision/CastResult.h
Jolt/Physics/Constraints/ContactConstraintManager.cpp,Jolt/Physics/IslandBuilder.h
Jolt/Physics/Collision/Shape/HeightFieldShape.cpp,Jolt/Physics/Collision/CastConvexVsTriangles.h
Jolt/Physics/Collision/Shape/PolyhedronSubmergedVolumeCalculator.h,Jolt/Geometry/Plane.h
Jolt/Physics/Constraints/FixedConstraint.h,Jolt/Physics/Constraints/ConstraintPart/RotationEulerConstraintPart.h
Jolt/Core/Core.h,arm64_neon.h
Jolt/Compute/CPU/ComputeSystemCPU.h,Jolt/Core/UnorderedMap.h
Jolt/Physics/Collision/Shape/BoxShape.cpp,Jolt/Physics/Collision/Shape/BoxShape.h
Jolt/Physics/Collision/Shape/MutableCompoundShape.cpp,Jolt/Core/StreamIn.h
Jolt/Physics/Vehicle/Wheel.h,Jolt/Physics/Constraints/ConstraintPart/AxisConstraintPart.h
Jolt/Physics/Collision/Shape/ConvexShape.h,Jolt/Physics/Collision/PhysicsMaterial.h
Jolt/Physics/Collision/Shape/ConvexHullShape.cpp,Jolt/Core/StreamIn.h
Jolt/Physics/Collision/Shape/OffsetCenterOfMassShape.cpp,Jolt/ObjectStream/TypeDeclarations.h
Jolt/ObjectStream/ObjectStreamOut.h,fstream
Jolt/Geometry/RaySphere.h,Jolt/Math/FindRoot.h
Jolt/Physics/Collision/Shape/SphereShape.cpp,Jolt/Physics/Collision/Shape/ScaleHelpers.h
Jolt/Compute/DX12/ComputeSystemDX12Impl.cpp,Jolt/Jolt.h
Jolt/Physics/Body/Body.cpp,Jolt/Physics/StateRecorder.h
Jolt/Physics/Collision/Shape/GetTrianglesContext.h,Jolt/Physics/Collision/Shape/Shape.h
Jolt/Physics/Constraints/ConeConstraint.cpp,Jolt/Core/StreamOut.h
Jolt/Physics/Collision/Shape/RotatedTranslatedShape.cpp,Jolt/Physics/Collision/Shape/RotatedTranslatedShape.h
Jolt/Physics/Constraints/ContactConstraintManager.h,atomic
Jolt/Renderer/DebugRenderer.cpp,Jolt/Geometry/OrientedBox.h
Jolt/Physics/Collision/BroadPhase/QuadTree.cpp,Jolt/Physics/Collision/RayCast.h
Jolt/Physics/Vehicle/TrackedVehicleController.cpp,Jolt/Core/StreamOut.h
Jolt/Physics/Collision/Shape/ConvexShape.cpp,Jolt/Core/StreamIn.h
Jolt/Physics/Constraints/HingeConstraint.h,Jolt/Physics/Constraints/ConstraintPart/AngleConstraintPart.h
Jolt/Physics/SoftBody/SoftBodyMotionProperties.h,Jolt/Physics/SoftBody/SoftBodyUpdateContext.h
Jolt/Physics/IslandBuilder.h,Jolt/Physics/Body/BodyID.h
Jolt/Physics/Character/CharacterVirtual.cpp,Jolt/Core/ScopeExit.h
Jolt/Physics/Character/Character.cpp,Jolt/Physics/Body/BodyCreationSettings.h
Jolt/Physics/Constraints/PathConstraint.h,Jolt/Physics/Constraints/ConstraintPart/HingeRotationConstraintPart.h
Jolt/Physics/PhysicsUpdateContext.h,Jolt/Core/STLTempAllocator.h
Jolt/Physics/SoftBody/SoftBodySharedSettings.cpp,Jolt/Physics/SoftBody/SoftBodySharedSettings.h
Jolt/Physics/Constraints/FixedConstraint.h,Jolt/Physics/Constraints/TwoBodyConstraint.h
Jolt/Compute/VK/ComputeQueueVK.cpp,Jolt/Compute/VK/ComputeQueueVK.h
Jolt/Physics/Collision/Shape/HeightFieldShape.cpp,Jolt/Physics/Collision/RayCast.h
Jolt/Physics/Constraints/SliderConstraint.cpp,Jolt/ObjectStream/TypeDeclarations.h
Jolt/RegisterTypes.cpp,Jolt/Physics/Collision/Shape/MeshShape.h
Jolt/Physics/LargeIslandSplitter.cpp,Jolt/Core/Profiler.h
Jolt/Physics/Collision/EstimateCollisionResponse.cpp,Jolt/Physics/Body/Body.h
Jolt/Physics/Collision/CollideConvexVsTriangles.cpp,Jolt/Physics/Collision/Shape/ScaleHelpers.h
Jolt/Geometry/ConvexHullBuilder.h,Jolt/Core/NonCopyable.h
Jolt/Physics/Constraints/ConeConstraint.h,Jolt/Physics/Constraints/TwoBodyConstraint.h
Jolt/Compute/VK/ComputeQueueVK.h,Jolt/Core/UnorderedSet.h
Jolt/Physics/Constraints/PulleyConstraint.cpp,Jolt/Physics/Body/Body.h
Jolt/Compute/VK/ComputeSystemVKWithAllocator.h,Jolt/Core/UnorderedMap.h
Jolt/Jolt.h,Jolt/Core/RISCVVector.h
Jolt/Physics/Constraints/ContactConstraintManager.h,Jolt/Physics/Body/BodyPair.h
Jolt/Physics/Constraints/SixDOFConstraint.h,Jolt/Physics/Constraints/ConstraintPart/SwingTwistConstraintPart.h
Jolt/Shaders/TestComputeWrapper.cpp,Jolt/Compute/CPU/WrapShaderBindings.h
Jolt/Physics/SoftBody/SoftBodyCreationSettings.h,Jolt/ObjectStream/SerializableObject.h
Jolt/Physics/Constraints/HingeConstraint.h,Jolt/Physics/Constraints/MotorSettings.h
Jolt/Compute/DX12/ComputeQueueDX12.cpp,Jolt/Jolt.h
Jolt/Physics/Collision/BroadPhase/QuadTree.cpp,Jolt/Jolt.h
Jolt/Physics/Collision/Shape/ScaledShape.cpp,Jolt/Physics/Collision/RayCast.h
Jolt/Compute/VK/ComputeSystemVKWithAllocator.cpp,Jolt/Compute/VK/ComputeBufferVK.h
Jolt/Physics/Collision/Shape/TaperedCylinderShape.cpp,Jolt/Physics/Collision/Shape/CylinderShape.h
Jolt/Shaders/HairWrapper.cpp,HairApplyDeltaTransform.hlsl
Jolt/Compute/DX12/IncludeDX12.h,Jolt/Core/IncludeWindows.h
Jolt/Physics/Collision/Shape/SphereShape.cpp,Jolt/ObjectStream/TypeDeclarations.h
Jolt/Physics/Collision/Shape/ConvexShape.h,Jolt/Physics/Collision/Shape/Shape.h
Jolt/Physics/Constraints/GearConstraint.cpp,Jolt/Core/StreamOut.h
Jolt/Physics/Collision/Shape/HeightFieldShape.cpp,Jolt/Jolt.h
Jolt/Physics/Collision/Shape/ConvexHullShape.cpp,Jolt/Physics/Collision/Shape/ConvexHullShape.h
Jolt/Physics/Constraints/HingeConstraint.cpp,Jolt/Physics/Constraints/HingeConstraint.h
Jolt/Physics/Character/CharacterVirtual.cpp,Jolt/Physics/Collision/ShapeCast.h
Jolt/Physics/Collision/Shape/HeightFieldShape.cpp,Jolt/Geometry/RayTriangle.h
